event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
1968,47,34,52,50,51,21,2,-2,21,0.5873941779136658,1.1771200233889638,1.3856115494632348,0.47395401023681494,0.5462993829456554,2.84710657660447e-07
1989,9,10,37,35,36,21,1,-1,2,2.338533401489258,5.098944940359772,25.99923950482052,0.697467138018084,0.3207459004737236,7.275674114068569e-07
1989,18,17,47,45,46,21,-4,4,21,2.006817579269409,4.487120686624546,20.134252056333935,0.6662659988938191,0.6697159935415251,3.218788788628723e-06
1989,57,56,89,87,88,21,2,-2,2,0.6859939694404602,1.462987532700139,2.14033252083604,0.6549168584810452,0.7014767644943037,1.9082797281243946e-07
1990,8,9,12,10,11,21,3,-3,1,0.6189419031143188,1.4489195459186648,2.09936785054515,0.6880445905255702,0.6888247758077776,7.920075813483186e-08
1992,28,27,34,32,33,21,3,-3,21,0.5904006361961365,1.559130484482884,2.4308878676438326,0.7504919453428928,0.7639841501931108,2.679102807695449e-06
2004,24,25,28,26,27,21,3,-3,21,0.6893491148948669,1.5341246310542274,2.3535383836072694,0.6663042584366872,0.4480987536907688,1.3333208984265686e-07
2008,8,9,12,10,11,21,-2,2,-1,1.7150954008102417,3.655206893114714,13.360537431473318,0.33011706462525947,0.15250147743369635,2.8436241625001826e-06
2016,13,7,18,16,17,21,-3,3,-1,0.8830311298370361,1.9756414524379105,3.9031591485909765,0.6932848034885687,0.8312171260859919,4.120595448403944e-06
2024,87,90,98,96,97,21,1,-1,21,0.5630249977111816,1.1588916154823392,1.3430297764352659,0.597149331066291,0.5531954875745051,8.462232866585662e-08
2043,27,26,34,32,33,21,-3,3,21,0.5017512440681458,1.0151121250083441,1.0304526263389562,0.513255127108605,0.49306816484082966,1.5915221906135908e-05
2062,8,9,12,10,11,21,-3,3,-1,0.7468098998069763,1.549062396292939,2.3995943076088224,0.6012060503471773,0.69061633999516,1.966501675405934e-06
2110,8,7,12,10,11,21,2,-2,2,0.593965470790863,1.1894333753386486,1.4147517543694903,0.5209461832014226,0.337513695515749,3.0159394402574156e-06
2122,20,18,34,32,33,21,1,-1,21,0.5814114212989807,1.2079967822549553,1.4592562259383257,0.6134504741361387,0.6826133679366323,3.332000937312528e-08
2126,8,9,12,10,11,21,2,-2,1,0.905683159828186,2.5071776714172334,6.28593987605314,0.8335068295215128,0.49281720331702317,1.0321159978509859e-05
2131,22,23,27,25,26,21,1,-1,21,0.697411060333252,1.3987439313407275,1.9564845854625137,0.4670114228013723,0.4851594245228998,1.5030980856591475e-07
2146,44,43,50,48,49,21,-3,3,21,0.5372537970542908,1.1548492189164055,1.3336767184318319,0.5916514954100229,0.5195248925517975,2.388837865275353e-07
2148,8,9,12,10,11,21,1,-1,1,0.5485741496086121,1.1019032754595195,1.2141908284684177,0.5396233764003311,0.4716741193487637,6.473756619936773e-05
2151,15,14,55,53,54,21,-2,2,-1,0.8554332852363586,2.6747432400538047,7.154251400213525,0.8724508365488667,0.7099852588644139,8.09224979261457e-06
2166,10,7,15,13,14,21,-3,3,-3,0.6933393478393555,1.3918555424570873,1.937261851068513,0.5299686846802938,0.7418520930787685,5.344201278814464e-07
2173,14,13,60,58,59,21,3,-3,1,0.5623711347579956,2.137465969910923,4.568760772527241,0.8757782575205144,0.6867977774161065,1.435489270198674e-06
2234,18,15,21,19,20,21,3,-3,21,0.6152240037918091,1.2876681356365713,1.6580892275337635,0.5928574506581927,0.586287313731711,5.406044772349769e-07
2258,12,11,16,14,15,21,-2,2,-2,0.8363379240036011,1.6742774763403505,2.8032050677806133,0.47990133477244046,0.7711342803066391,3.885747435809761e-07
2270,42,43,72,70,71,21,-1,1,21,0.6271865963935852,1.2729777224699446,1.6204722819047674,0.42702886991936756,0.19270248888190614,1.3500155988819748e-06
2295,18,17,21,19,20,21,-1,1,21,0.5090309977531433,1.0189370407526608,1.0382326930177896,0.5157838605556458,0.5625878256907615,3.5886748369909214e-07
2303,46,41,90,88,89,21,2,-2,21,0.529999315738678,1.3588890242372451,1.846579380192452,0.7734464004872824,0.7115807090077165,2.6982213597631173e-06
2317,13,14,24,22,23,21,-2,2,-2,1.7141451835632324,3.6503559270910615,13.325098394448844,0.6689014326344688,0.5424319471783516,1.7322720058085867e-06
